Date		Distance	Duration	Heartbeat
2014-01-01	 4,122.26	0:28:47		175
2014-01-02	 4,102.80	0:30:27		167
2014-01-03	 2,601.36	0:20:06		168
2014-01-04	 2,625.67	0:24:16		149
2014-01-05	 7,415.13	1:03:53		166
2014-01-06	 2,477.93	0:22:09		147
2014-01-07	 4,008.19	0:35:42		148
2014-01-08	 5,603.82	0:43:01		164
2014-01-09	 2,538.13	0:20:40		153
2014-01-10	 3,972.79	0:28:45		165
2014-01-11	 4,595.50	0:34:31		168
2014-01-12	 7,170.76	0:52:47		163
2014-01-13	 4,027.45	0:29:26		172
2014-01-14	 2,589.69	0:24:05		140
2014-01-15	 4,063.93	0:29:43		165
2014-01-16	 2,585.28	0:18:02		163
2014-01-17	 2,608.34	0:16:56		165
2014-01-18	 4,050.55	0:31:36		159
2014-01-19	10,249.28	1:26:22		149
2014-01-20	 2,574.97	0:20:47		151
2014-01-21	 2,628.89	0:18:47		154
2014-01-22	 4,074.20	0:31:02		158
2014-01-23	 2,628.07	0:18:13		169
2014-01-24	 2,606.39	0:17:35		163
2014-01-25	 4,079.41	0:28:15		174
2014-01-26	 6,061.54	0:43:33		162
2014-01-27	 1,773.99	0:13:25		152
2014-01-28	 2,858.82	0:22:31		151
2014-01-29	 1,949.75	0:16:11		143
2014-01-30	 2,179.64	0:15:13		155
2014-01-31	 2,173.28	0:13:44		165
2014-02-01	 3,980.43	0:26:57		173
2014-02-02	11,237.48	1:20:23		164
2014-02-03	 3,012.29	0:22:51		154
2014-02-04	 3,016.89	0:22:39		157
2014-02-05	 2,979.01	0:21:14		155
2014-02-06	 2,985.57	0:22:54		149
2014-02-07	 2,983.88	0:21:15		159
2014-02-08	 4,065.66	0:26:30		164
2014-02-09	 7,155.84	0:52:26		154
2014-02-10	 3,064.23	0:21:31		154
2014-02-11	 2,593.37	0:18:40		155
2014-02-12	 2,978.75	0:21:17		161
2014-02-13	 2,595.84	0:19:07		146
2014-02-14	 2,590.23	0:18:03		150
2014-02-15	 6,395.99	0:47:58		162
2014-02-16	 3,075.82	0:22:09		161
2014-02-17	 4,889.70	0:34:39		165
2014-02-18	 3,532.17	0:25:37		159
2014-02-19	 2,662.41	0:17:28		158
2014-02-20	 3,933.77	0:24:05		169
2014-02-21	 2,575.62	0:17:00		158
2014-02-22	 4,068.18	0:31:46		146
2014-02-23	 5,496.53	0:40:00		151
2014-02-24	 2,605.67	0:17:04		159
2014-02-25	 4,522.63	0:28:28		159
2014-02-26	 2,164.60	0:14:21		157
2014-02-27	 4,139.16	0:23:47		163
2014-02-28	 2,589.48	0:15:45		162
2014-03-01	11,485.32	1:14:50		165
2014-03-02	 4,262.28	0:33:56		142
2014-03-03	 2,602.54	0:17:45		159
2014-03-04	 4,092.49	0:26:20		162
2014-03-05	 3,127.84	0:19:10		161
2014-03-06	 2,602.38	0:14:36		165
2014-03-07	 3,058.83	0:18:12		164
2014-03-08	 4,337.73	0:28:05		159
2014-03-09	 7,103.42	0:46:51		165
2014-03-10	 2,633.55	0:16:10		159
2014-03-11	 3,034.77	0:19:01		159
2014-03-12	 4,046.38	0:26:21		153
2014-03-13	 3,083.51	0:18:31		154
2014-03-14	 2,778.48	0:17:47		148
2014-03-15	 4,063.22	0:29:23		156
2014-03-16	 4,058.39	0:26:38		153
2014-03-17	 2,641.65	0:16:25		147
2014-03-18	 3,005.37	0:21:06		144
2014-03-19	 2,593.79	0:17:16		145
2014-03-20	 2,623.41	0:15:59		158
2014-03-21	 3,046.87	0:18:12		163
2014-03-22	 4,039.20	0:25:50		172
2014-03-23	 4,303.32	0:32:38		140
2014-03-24	 2,634.29	0:15:40		154
2014-03-25	 3,037.40	0:19:21		154
2014-03-26	 4,104.16	0:25:03		166
2014-03-27	 2,600.10	0:15:10		165
2014-03-28	 2,607.19	0:15:22		177
2014-03-29	11,377.44	1:07:53		166
2014-03-30	 2,994.73	0:20:12		157
2014-03-31	 3,015.38	0:19:30		155
2014-04-01	 3,037.31	0:18:32		158
2014-04-02	 2,607.32	0:17:09		166
2014-04-03	 4,164.36	0:26:07		159
2014-04-04	 3,040.94	0:17:20		166
2014-04-05	 2,985.56	0:18:46		166
2014-04-06	 2,714.74	0:16:36		169
2014-04-07	 3,992.25	0:24:49		166
2014-04-08	 2,068.99	0:11:45		167
2014-04-09	 2,209.28	0:13:14		161
2014-04-10	 4,015.30	0:23:39		162
2014-04-11	 2,599.08	0:17:37		150
2014-04-12	 2,119.68	0:21:07		129
2014-04-13	 4,398.34	0:37:32		141
2014-04-14	 4,067.87	0:24:59		161
2014-04-15	 2,633.57	0:14:34		171
2014-04-16	 2,604.32	0:18:58		150
2014-04-18	 2,342.23	0:15:31		156
2014-04-19	 4,836.17	0:30:49		159
2014-04-20	 3,648.56	0:25:04		157
2014-04-21	 4,083.86	0:25:46		159
2014-04-22	 2,263.27	0:15:04		164
2014-04-23	 4,052.91	0:23:23		170
2014-04-24	 2,559.39	0:13:23		171
2014-04-25	 2,658.52	0:14:02		162
2014-04-26	 5,022.09	0:29:50		163
2014-04-27	 3,112.22	0:17:17		166
2014-04-28	 2,645.39	0:15:12		175
2014-04-29	 5,672.25	0:40:08		148
2014-04-30	 2,649.50	0:15:55		161
2014-05-01	 2,644.85	0:13:34		163
2014-05-02	 4,110.29	0:24:29		157
2014-05-03	 2,606.26	0:16:11		150
2014-05-04	 2,630.78	0:23:39		141
2014-05-05	 2,027.45	0:11:33		151
2014-05-07	 2,617.53	0:14:09		168
2014-05-08 	 4,119.68	0:24:07		157
2014-05-09	 2,439.82	0:15:00		157
2014-05-10	 3,558.33	0:22:39		150
2014-05-11	 7,146.11	0:46:36		158
2014-05-12	 5,933.30	0:33:14		171
2014-05-13	 5,646.74	0:32:04		166
2014-05-14	 2,051.98	0:14:50		153
2014-05-15	 2,578.18	0:15:16		176
2014-05-16	10,031.19	1:00:39		159
2014-05-17	 2,627.60	0:15:32		148
2014-05-18	 2,577.58	0:14:29		157
2014-05-19	 5,020.08	0:33:19		143
2014-05-20	 2,432.69	0:13:42		169
2014-05-21	 2,962.77	0:20:01		154
2014-05-22	 2,715.51	0:15:35		156
2014-05-23	 9,870.25	1:00:06		160
2014-05-24	 2,644.57	0:14:16		159
2014-05-25	 3,006.38	0:19:20		161
2014-05-26	 2,629.07	0:15:56		152
2014-05-27	 2,658.64	0:15:44		150
2014-05-28	 2,617.55	0:13:05		167
2014-05-29	 2,055.05	0:13:17		145
2014-05-30	 2,053.04	0:14:01		140
2014-05-31	 2,052.48	0:15:19		138
2014-06-01	 2,045.47	0:12:49		160
2014-06-02	 2,043.77	0:12:13		165
2014-06-03 	 2,024.12  	0:14:29		148
2014-06-04	 4,388.62	0:22:52		184
2014-06-05	 2,001.12	0:12:57		148
2014-06-06 	 2,631.75  	0:16:16		165
2014-06-07	 7,352.72  	0:48:57		159
2014-06-08	 2,602.39	0:16:09		153
2014-06-09	 4,098.60	0:24:27		155
2014-06-10	 2,964.48	0:20:03		149
2014-06-11	 2,575.95	0:15:33		154
2014-06-12	 2,136.84	0:12:57		152
2014-06-13	 2,574.66	0:15:56		151
2014-06-14	 2,375.27	0:14:25		151
2014-06-15	 7,202.47	0:49:11		150
2014-06-16	 2,573.04	0:21:08		146
2014-06-17	 4,001.51	0:23:41		159
2014-06-18	 3,018.85	0:17:56		162
2014-06-19	 2,672.00	0:16:44		146
2014-06-20	 2,598.30	0:14:53		161
2014-06-21	 2,638.76	0:15:09		145
2014-06-22	 4,321.18	0:27:34		145
2014-06-23	19,216.22	2:12:04		155
2014-06-24	 2,553.28	0:19:37		130
2014-06-25	 2,543.55	0:13:25		159
2014-06-26	 3,994.84	0:23:23		157
2014-06-27	 7,448.10	0:45:47		159
2014-06-28	 2,538.22	0:12:08		163
2014-06-29	 7,494.10	0:42:49		163
2014-06-30	 2,600.99	0:14:41		155
2014-07-01	 3,010.87	0:18:46		158
2014-07-02	 5,603.18	0:40:41		144
2014-07-03	 3,713.48	0:24:42		146
2014-07-04	 2,517.87	0:17:09		138
2014-07-05	11,866.11	1:12:23		168
2014-07-06	 2,036.81	0:12:49		151
2014-07-07	 9,704.98	0:57:20		161
2014-07-08	 2,567.48	0:13:55		164
2014-07-09	 5,946.40	0:34:04		163
2014-07-10	 3,786.60	0:21:55		156
2014-07-11	 6,183.60	0:43:53		136
